date,open,high,low,close,volume,oi,SYMBOL,MA_VOL,MA_OI,RSI,VWAP
2023-10-30 14:40:00,124.15,129.6,124.15,129.45,35150,1110050,NIFTY23N0919200CE,33335.0,1105245.0,72.55931400754575,99.39990077082817
2023-10-30 14:45:00,129.9,130.25,126.0,129.55,26950,1114300,NIFTY23N0919200CE,33705.0,1106825.0,72.83108335347197,99.5440162683515
2023-10-30 14:50:00,129.45,131.4,126.0,127.9,48750,1119700,NIFTY23N0919200CE,35550.0,1109025.0,60.477491910738514,99.79965073890881
2023-10-30 14:55:00,127.9,130.0,125.5,129.5,52800,1123150,NIFTY23N0919200CE,37685.0,1111605.0,67.21755365097975,100.0705182142076
2023-10-30 15:00:00,130.2,137.0,127.8,134.45,106600,1116600,NIFTY23N0919200CE,45625.0,1113450.0,80.24558473401208,100.69133024029824
2023-10-30 15:05:00,134.05,136.7,131.15,133.8,126900,1126650,NIFTY23N0919200CE,55380.0,1116070.0,75.33161076645109,101.4181059893654
2023-10-30 15:10:00,133.8,134.9,132.05,132.8,85600,1130650,NIFTY23N0919200CE,60380.0,1118070.0,67.39498434386257,101.88141845840808
2023-10-30 15:15:00,132.75,134.95,128.75,132.1,118350,1108950,NIFTY23N0919200CE,67255.0,1117345.0,61.70648699368815,102.47424188126787
2023-10-30 15:20:00,132.0,135.4,131.4,134.45,65400,1109850,NIFTY23N0919200CE,71465.0,1116620.0,71.72243102443664,102.81149964000505
2023-10-30 15:25:00,134.5,138.05,134.3,138.05,134150,1100750,NIFTY23N0919200CE,80065.0,1116065.0,81.15901681599351,103.54702481294176
2023-10-31 09:15:00,176.5,176.5,135.55,138.35,591950,1066850,NIFTY23N0919200CE,135745.0,1111745.0,81.79196008522521,150.13333333333333
2023-10-31 09:20:00,138.35,144.95,130.25,137.05,342950,1124600,NIFTY23N0919200CE,167345.0,1112775.0,69.19985059347134,145.4684698898278
2023-10-31 09:25:00,137.0,137.55,127.8,132.8,194000,1179900,NIFTY23N0919200CE,181870.0,1118795.0,42.476451609759806,143.27708905424157
2023-10-31 09:30:00,132.55,134.7,121.2,124.35,307800,1197300,NIFTY23N0919200CE,207370.0,1126210.0,21.67427179721107,139.73630948237857
2023-10-31 09:35:00,125.1,138.85,123.4,135.75,262050,1196800,NIFTY23N0919200CE,222915.0,1134230.0,57.10255903629575,138.64574294824624
2023-10-31 09:40:00,135.0,137.0,128.4,133.25,264300,1301300,NIFTY23N0919200CE,236655.0,1151695.0,50.80338591816068,137.86990694752214
2023-10-31 09:45:00,134.2,134.35,113.95,123.3,240650,1314050,NIFTY23N0919200CE,252160.0,1170035.0,32.80158679701161,136.34071523649618
2023-10-31 09:50:00,122.9,123.25,116.5,117.25,148700,1335950,NIFTY23N0919200CE,255195.0,1192735.0,25.84189613619779,135.24457327268604
2023-10-31 09:55:00,117.45,118.8,110.75,118.5,162900,1362950,NIFTY23N0919200CE,264945.0,1218045.0,29.694455259171896,133.99930392663563
2023-10-31 10:00:00,118.5,124.3,115.0,122.85,164050,1350100,NIFTY23N0919200CE,267935.0,1242980.0,42.65383783359205,133.18604076859435
2023-10-31 10:05:00,122.5,122.5,108.9,110.15,112700,1359450,NIFTY23N0919200CE,220010.0,1272240.0,25.500045086440753,132.40554908878184
2023-10-31 10:10:00,110.15,112.35,104.2,109.7,188300,1409400,NIFTY23N0919200CE,204545.0,1300720.0,25.053778789148826,130.91097969477858
2023-10-31 10:15:00,109.7,114.45,106.5,107.75,112950,1411050,NIFTY23N0919200CE,196440.0,1323835.0,22.884448397972708,130.13160486643176
2023-10-31 10:20:00,108.0,113.0,102.25,105.15,113150,1423400,NIFTY23N0919200CE,176975.0,1346445.0,19.99844150705468,129.30827342803826
2023-10-31 10:25:00,105.05,110.05,103.0,106.75,81600,1416400,NIFTY23N0919200CE,158930.0,1368405.0,27.073038152367854,128.74471900771988
2023-10-31 10:30:00,106.85,106.85,99.65,103.8,135000,1417600,NIFTY23N0919200CE,146000.0,1380035.0,22.48955056837979,127.74647560898418
2023-10-31 10:35:00,104.2,108.3,101.35,107.85,91700,1411250,NIFTY23N0919200CE,131105.0,1389755.0,39.93940207683749,127.17476065153994
2023-10-31 10:40:00,107.1,107.25,95.6,95.85,137750,1430500,NIFTY23N0919200CE,130010.0,1399210.0,21.77945167518905,126.13355190508783
2023-10-31 10:45:00,95.9,99.55,95.4,98.3,70400,1436150,NIFTY23N0919200CE,120760.0,1406530.0,29.912418900174195,125.59681923590033
2023-10-31 10:50:00,98.3,100.9,96.9,98.65,70750,1447200,NIFTY23N0919200CE,111430.0,1416240.0,31.190009295752425,125.09738049108378
2023-10-31 10:55:00,98.65,104.65,98.6,104.2,52650,1448800,NIFTY23N0919200CE,105425.0,1425175.0,49.45327818615739,124.78782856251462
2023-10-31 11:00:00,104.25,105.6,99.45,104.5,79300,1453750,NIFTY23N0919200CE,94525.0,1429610.0,50.343788353107406,124.35140190883772
2023-10-31 11:05:00,104.1,108.55,101.7,105.45,91500,1460750,NIFTY23N0919200CE,92380.0,1434580.0,53.58088110617833,123.91593769966725
2023-10-31 11:10:00,105.9,106.15,100.75,103.35,95950,1471800,NIFTY23N0919200CE,90660.0,1439420.0,45.40250502439709,123.43772686935486
2023-10-31 11:15:00,103.8,105.7,100.8,101.35,76950,1495600,NIFTY23N0919200CE,90195.0,1447340.0,38.42103333021936,123.05534486873508
2023-10-31 11:20:00,101.35,110.1,99.4,109.45,86750,1497500,NIFTY23N0919200CE,85370.0,1455330.0,65.3749754909914,122.71581594279145
2023-10-31 11:25:00,109.45,110.1,104.95,108.65,68850,1497000,NIFTY23N0919200CE,83085.0,1463905.0,62.023316238517125,122.48107990457781
2023-10-31 11:30:00,108.65,109.0,103.2,106.2,36100,1494750,NIFTY23N0919200CE,72920.0,1470330.0,51.84763719309676,122.34639390343169
2023-10-31 11:35:00,106.2,107.45,101.85,103.8,64900,1515900,NIFTY23N0919200CE,72370.0,1478305.0,43.17425573706947,122.08397221097769
2023-10-31 11:40:00,103.75,105.5,98.55,100.65,77150,1518500,NIFTY23N0919200CE,73010.0,1485435.0,33.87668134759639,121.73406115869945
2023-10-31 11:45:00,100.45,101.4,92.5,93.15,116050,1523250,NIFTY23N0919200CE,79350.0,1492880.0,20.64490013600552,121.08248415879994
2023-10-31 11:50:00,93.6,96.9,93.2,93.45,96350,1533800,NIFTY23N0919200CE,81055.0,1500885.0,22.16496658260985,120.54204170757544
2023-10-31 11:55:00,92.95,96.85,90.7,95.8,83550,1552550,NIFTY23N0919200CE,80260.0,1510065.0,34.45811865562763,120.08973345505599
2023-10-31 12:00:00,95.8,99.75,93.65,99.75,57100,1561800,NIFTY23N0919200CE,76375.0,1519065.0,50.78843395331647,119.82777846128609
2023-10-31 12:05:00,99.75,99.75,96.3,98.55,47000,1576800,NIFTY23N0919200CE,73380.0,1527185.0,46.39835423794408,119.62133108574677
2023-10-31 12:10:00,98.75,99.0,93.65,94.1,46450,1576750,NIFTY23N0919200CE,69350.0,1535110.0,33.125620446617695,119.39668142112235
2023-10-31 12:15:00,94.1,101.25,92.3,99.6,66250,1579250,NIFTY23N0919200CE,69090.0,1543335.0,53.62217545316424,119.11150302789636
2023-10-31 12:20:00,99.6,103.5,97.75,101.85,60300,1582850,NIFTY23N0919200CE,71510.0,1552145.0,59.9060786030476,118.89762105634908
2023-10-31 12:25:00,101.85,102.7,95.7,96.15,51250,1570500,NIFTY23N0919200CE,70145.0,1557605.0,41.919818955408594,118.69140564550332
2023-10-31 12:30:00,96.15,98.2,95.8,97.3,20850,1572400,NIFTY23N0919200CE,64515.0,1562995.0,46.008019769300915,118.60431152340603
2023-10-31 12:35:00,97.3,105.1,97.3,105.1,41500,1572650,NIFTY23N0919200CE,57060.0,1567935.0,66.18686975241587,118.47604326603205
2023-10-31 12:40:00,105.15,105.5,98.1,100.7,54750,1567200,NIFTY23N0919200CE,52900.0,1571275.0,52.38237722265353,118.29882355361829
2023-10-31 12:45:00,100.3,101.0,96.05,98.0,45650,1568600,NIFTY23N0919200CE,49110.0,1572880.0,45.15794279139492,118.12734961462178
2023-10-31 12:50:00,98.0,99.5,96.8,99.1,32450,1575450,NIFTY23N0919200CE,46645.0,1574245.0,48.757026183613696,118.00794865796409
2023-10-31 12:55:00,99.1,101.65,99.1,100.25,28950,1572000,NIFTY23N0919200CE,44840.0,1573765.0,52.804584838909086,117.91270274127297
2023-10-31 13:00:00,100.0,103.45,99.25,102.05,22800,1570950,NIFTY23N0919200CE,42475.0,1573185.0,59.1219209314744,117.84369261662032
2023-10-31 13:05:00,102.05,105.45,100.7,104.5,107650,1551700,NIFTY23N0919200CE,46615.0,1570430.0,66.70459041125515,117.564060801008
2023-10-31 13:10:00,104.5,107.1,102.0,103.0,84600,1551800,NIFTY23N0919200CE,49045.0,1567325.0,58.412356214814054,117.35918370695184
2023-10-31 13:15:00,103.0,106.65,102.65,105.5,36950,1552150,NIFTY23N0919200CE,47615.0,1565490.0,66.96732367558899,117.27754806609533
2023-10-31 13:20:00,105.5,105.5,94.65,95.0,105800,1548650,NIFTY23N0919200CE,56110.0,1563115.0,32.19622922256815,116.92868106457243
2023-10-31 13:25:00,95.0,106.35,93.0,105.65,160950,1543100,NIFTY23N0919200CE,68055.0,1560160.0,59.1125526245004,116.51169887709113
2023-10-31 13:30:00,105.65,114.2,95.0,96.7,329500,1498650,NIFTY23N0919200CE,95530.0,1553305.0,41.71642982040891,115.74124205912219
2023-10-31 13:35:00,96.1,98.0,93.65,97.0,92400,1537100,NIFTY23N0919200CE,100205.0,1550155.0,42.42634229070933,115.4554645154988
2023-10-31 13:40:00,96.85,100.0,94.15,100.0,48600,1541400,NIFTY23N0919200CE,101820.0,1546750.0,50.033882799885745,115.32249081053322
2023-10-31 13:45:00,99.65,102.25,98.0,99.25,43800,1549150,NIFTY23N0919200CE,103305.0,1544465.0,48.049790058561705,115.21657377411758
2023-10-31 13:50:00,99.25,103.2,98.6,101.65,46850,1557300,NIFTY23N0919200CE,105710.0,1543100.0,55.161991766188244,115.11443354360078
2023-10-31 13:55:00,101.65,102.4,98.6,99.65,41300,1558800,NIFTY23N0919200CE,99075.0,1543810.0,48.27724454325624,115.01967921273909
2023-10-31 14:00:00,99.65,101.7,97.85,100.5,38800,1559600,NIFTY23N0919200CE,94495.0,1544590.0,51.493475042904066,114.93056423052978
2023-10-31 14:05:00,100.5,104.5,100.5,102.05,65300,1550500,NIFTY23N0919200CE,97330.0,1544425.0,57.51521167311203,114.80604572439054
2023-10-31 14:10:00,102.05,105.5,102.0,104.9,61700,1547250,NIFTY23N0919200CE,92920.0,1544285.0,66.94635133021096,114.70715901810028
2023-10-31 14:15:00,104.9,118.1,104.55,116.0,224550,1546000,NIFTY23N0919200CE,99280.0,1544575.0,84.11442918087268,114.6476652744991
2023-10-31 14:20:00,116.0,121.5,112.4,120.9,268850,1494350,NIFTY23N0919200CE,93215.0,1544145.0,87.65311993366964,114.78369532291288
2023-10-31 14:25:00,120.9,121.95,112.4,121.9,168050,1492850,NIFTY23N0919200CE,100780.0,1539720.0,88.31702671219928,114.87474427361869
2023-10-31 14:30:00,122.75,129.9,121.5,129.5,342100,1432650,NIFTY23N0919200CE,130130.0,1528845.0,92.26716453177544,115.41458266723217
2023-10-31 14:35:00,129.6,130.0,116.5,120.75,153400,1430650,NIFTY23N0919200CE,141090.0,1516995.0,62.06630844939757,115.55200578289823
2023-10-31 14:40:00,120.75,123.55,117.6,121.45,68700,1433900,NIFTY23N0919200CE,143275.0,1504655.0,63.26859937238012,115.59831195266872
2023-10-31 14:45:00,121.25,125.15,120.95,121.0,77550,1431500,NIFTY23N0919200CE,146900.0,1491925.0,61.69724295388107,115.66423251783382
2023-10-31 14:50:00,121.35,123.7,113.75,114.05,108800,1438900,NIFTY23N0919200CE,153900.0,1479855.0,41.702031557341265,115.68448537185715
2023-10-31 14:55:00,114.5,116.0,108.0,111.9,130150,1440800,NIFTY23N0919200CE,160385.0,1468885.0,37.057898077363596,115.62548604802868
2023-10-31 15:00:00,111.3,112.1,94.0,98.25,315200,1478450,NIFTY23N0919200CE,185735.0,1462005.0,19.671934719139063,115.10084717403174
